Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
10.0P	2	2	61	44	61	 In
10.0P	2	4	68	39	67	 In
10.0P	2	6	75	34	74	 In
10.0P	2	8	82	25	81	 In
10.0P	2	10	89	12	88	 In
10.0P	2	12	96	0	95	 Out
10.0P	2	14	103	0	102	 Out
10.0P	2	16	109	0	109	 Out
10.0P	2	18	116	0	116	 Out
10.0P	2	20	122	0	122	 Out
10.0P	2	22	129	0	130	 Out
2.5RP	2	2	63	43	58	 In
2.5RP	2	4	71	38	63	 In
2.5RP	2	6	78	32	68	 In
2.5RP	2	8	87	22	74	 In
2.5RP	2	10	95	4	80	 In
2.5RP	2	12	102	0	86	 Out
2.5RP	2	14	110	0	92	 Out
2.5RP	2	16	118	0	98	 Out
2.5RP	2	18	125	0	104	 Out
2.5RP	2	20	132	0	109	 Out
5.0RP	2	2	64	43	56	 In
5.0RP	2	4	73	38	60	 In
5.0RP	2	6	81	31	63	 In
5.0RP	2	8	91	19	68	 In
5.0RP	2	10	99	0	73	 Out
5.0RP	2	12	107	0	77	 Out
5.0RP	2	14	115	0	82	 Out
5.0RP	2	16	124	0	87	 Out
5.0RP	2	18	131	0	91	 Out
7.5RP	2	2	65	43	54	 In
7.5RP	2	4	75	37	56	 In
7.5RP	2	6	84	30	59	 In
7.5RP	2	8	93	17	62	 In
7.5RP	2	10	102	0	66	 Out
7.5RP	2	12	111	0	69	 Out
7.5RP	2	14	119	0	73	 Out
7.5RP	2	16	127	0	77	 Out
10.0RP	3	2	91	65	73	 In
10.0RP	3	4	105	58	72	 In
10.0RP	3	6	116	50	70	 In
10.0RP	3	8	128	39	70	 In
10.0RP	3	10	139	22	69	 In
10.0RP	3	12	149	0	69	 Out
10.0RP	3	14	158	0	69	 Out
10.0RP	3	16	169	0	70	 Out
2.5R	3	2	92	65	71	 In
2.5R	3	4	106	58	67	 In
2.5R	3	6	117	50	64	 In
2.5R	3	8	129	39	61	 In
2.5R	3	10	140	21	58	 In
2.5R	3	12	151	0	56	 Out
2.5R	3	14	160	0	54	 Out
2.5R	3	16	170	0	53	 Out
5.0R	3	2	92	65	69	 In
5.0R	3	4	107	58	62	 In
5.0R	3	6	118	51	57	 In
5.0R	3	8	130	40	51	 In
5.0R	3	10	141	23	46	 In
5.0R	3	12	151	0	42	 Out
5.0R	3	14	160	0	38	 Out
5.0R	3	16	170	0	35	 Out
7.5R	3	2	92	65	67	 In
7.5R	3	4	106	59	58	 In
7.5R	3	6	118	51	50	 In
7.5R	3	8	129	42	42	 In
7.5R	3	10	139	28	33	 In
7.5R	3	12	150	0	25	 Out
7.5R	3	14	159	0	18	 Out
7.5R	3	16	168	0	9	 Out
10.0R	3	2	92	65	64	 In
10.0R	3	4	106	59	54	 In
10.0R	3	6	117	53	44	 In
10.0R	3	8	128	44	32	 In
10.0R	3	10	137	33	20	 In
10.0R	3	12	147	12	1	 In
10.0R	3	14	156	0	0	 Out
2.5YR	3	2	91	66	62	 In
2.5YR	3	4	104	61	49	 In
2.5YR	3	6	114	55	35	 In
2.5YR	3	8	123	49	18	 In
2.5YR	3	10	130	43	0	 Out
5.0YR	3	2	90	67	60	 In
5.0YR	3	4	101	63	45	 In
5.0YR	3	6	110	58	27	 In
5.0YR	3	8	117	54	1	 In
7.5YR	3	2	89	67	58	 In
7.5YR	3	4	98	64	41	 In
7.5YR	3	6	106	61	20	 In
7.5YR	3	8	111	59	0	 Out
10.0YR	3	2	86	69	56	 In
10.0YR	3	4	95	66	37	 In
10.0YR	3	6	101	64	12	 In
10.0YR	3	8	106	62	0	 Out
2.5Y	3	2	84	70	55	 In
2.5Y	3	4	91	68	34	 In
2.5Y	3	6	96	67	4	 In
5.0Y	3	2	81	71	55	 In
5.0Y	3	4	87	70	33	 In
5.0Y	3	6	91	69	0	 Out
7.5Y	3	2	79	71	55	 In
7.5Y	3	4	82	72	32	 In
7.5Y	3	6	85	71	0	 Out
10.0Y	3	2	76	72	56	 In
10.0Y	3	4	78	73	32	 In
10.0Y	3	6	79	74	0	 Out
2.5GY	3	2	73	73	57	 In
2.5GY	3	4	72	75	35	 In
2.5GY	3	6	71	76	3	 In
5.0GY	3	2	70	74	59	 In
5.0GY	3	4	66	76	40	 In
5.0GY	3	6	61	78	15	 In
5.0GY	3	8	57	80	0	 Out
7.5GY	3	2	67	74	63	 In
7.5GY	3	4	58	77	47	 In
7.5GY	3	6	49	80	30	 In
7.5GY	3	8	37	82	2	 In
7.5GY	3	10	17	84	0	 Out
10.0GY	3	2	64	75	66	 In
10.0GY	3	4	52	78	54	 In
10.0GY	3	6	37	81	41	 In
10.0GY	3	8	10	84	27	 In
10.0GY	3	10	0	86	9	 Out
10.0GY	3	12	0	88	0	 Out
10.0GY	3	14	0	90	0	 Out
2.5G	3	2	62	75	68	 In
2.5G	3	4	45	79	61	 In
2.5G	3	6	18	82	54	 In
2.5G	3	8	0	85	48	 Out
2.5G	3	10	0	88	42	 Out
2.5G	3	12	0	90	36	 Out
2.5G	3	14	0	91	32	 Out
2.5G	3	16	0	93	28	 Out
2.5G	3	18	0	94	25	 Out
2.5G	3	20	0	95	22	 Out
2.5G	3	22	0	97	20	 Out
5.0G	3	2	60	75	70	 In
5.0G	3	4	40	79	65	 In
5.0G	3	6	0	83	61	 Out
5.0G	3	8	0	85	58	 Out
5.0G	3	10	0	88	55	 Out
5.0G	3	12	0	90	53	 Out
5.0G	3	14	0	92	51	 Out
5.0G	3	16	0	93	50	 Out
5.0G	3	18	0	94	49	 Out
5.0G	3	20	0	96	48	 Out
5.0G	3	22	0	97	47	 Out
7.5G	3	2	59	75	72	 In
7.5G	3	4	36	80	69	 In
7.5G	3	6	0	83	66	 Out
7.5G	3	8	0	85	65	 Out
7.5G	3	10	0	88	63	 Out
7.5G	3	12	0	90	62	 Out
7.5G	3	14	0	92	62	 Out
7.5G	3	16	0	93	61	 Out
7.5G	3	18	0	95	61	 Out
7.5G	3	20	0	96	60	 Out
7.5G	3	22	0	97	60	 Out
10.0G	3	2	58	75	74	 In
10.0G	3	4	32	80	72	 In
10.0G	3	6	0	83	72	 Out
10.0G	3	8	0	86	71	 Out
10.0G	3	10	0	88	71	 Out
10.0G	3	12	0	90	71	 Out
10.0G	3	14	0	92	71	 Out
10.0G	3	16	0	94	72	 Out
10.0G	3	18	0	95	72	 Out
10.0G	3	20	0	96	73	 Out
10.0G	3	22	0	97	73	 Out
2.5BG	3	2	57	75	76	 In
2.5BG	3	4	28	80	77	 In
2.5BG	3	6	0	83	78	 Out
2.5BG	3	8	0	86	79	 Out
2.5BG	3	10	0	88	81	 Out
2.5BG	3	12	0	90	82	 Out
2.5BG	3	14	0	92	83	 Out
2.5BG	3	16	0	94	85	 Out
2.5BG	3	18	0	95	86	 Out
2.5BG	3	20	0	96	87	 Out
5.0BG	3	2	56	75	78	 In
5.0BG	3	4	24	80	82	 In
5.0BG	3	6	0	83	85	 Out
5.0BG	3	8	0	85	89	 Out
5.0BG	3	10	0	88	93	 Out
5.0BG	3	12	0	90	96	 Out
